artist_normalized,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
judy garland,2,1961,1961,"Album Of The Year (Other Than Classical) | Best Solo Vocal Performance, Female"
juice newton,1,1982,1982,"Best Country Vocal Performance, Female"
julian marley,1,2019,2019,Best Reggae Album
julie andrews,1,2010,2010,Best Spoken Word Album For Children
"julie andrews, dick van dyke",1,1964,1964,Best Recording For Children
julie harris,1,1977,1977,Best Spoken Word Recording
julieta venegas,1,2006,2006,Best Latin Pop Album
julio iglesias,1,1987,1987,Best Latin Pop Performance
june carter cash,3,1999,2003,Best Female Country Vocal Performance | Best Traditional Folk Album
justice,1,2018,2018,Best Dance/Electronic Album
justin timberlake,7,2003,2013,Best Dance Recording | Best Male Pop Vocal Performance | Best Music Video | Best Pop Vocal Album | Best Rap/Sung Collaboration
k.d. lang,2,1989,1992,"Best Country Vocal Performance, Female | Best Pop Vocal Performance, Female"
k.t. oslin,2,1987,1988,"Best Country Vocal Performance, Female"
kacey musgraves,4,2013,2018,Album Of The Year | Best Country Album | Best Country Solo Performance
kalani pe'a,2,2016,2018,Best Regional Roots Music Album
kanye west,6,2004,2011,Best Rap Album | Best Rap Solo Performance
"kanye west, rihanna, kid cudi",1,2011,2011,Best Rap/Sung Collaboration
karen o,1,2019,2019,Best Rock Performance
karl bohm,1,1976,1976,Best Recording For Children
kathy griffin,1,2013,2013,Best Comedy Album
kathy mattea,2,1990,1993,"Best Country Vocal Performance, Female | Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album"
keb' mo',4,1996,2019,Best Americana Album | Best Contemporary Blues Album
"keely smith, louis prima",1,1958,1958,Best Performance By A Vocal Group Or Chorus
keith urban,4,2005,2010,Best Male Country Vocal Performance
kelly clarkson,3,2005,2012,Best Female Pop Vocal Performance | Best Pop Vocal Album
ken burns,1,1991,1991,Best Spoken Word Or Non-Musical Album
kendrick lamar,8,2014,2017,Best Music Video | Best Rap Album | Best Rap Performance | Best Rap/Sung Collaboration | Best Rap/Sung Performance
"kendrick lamar, jay rock, future",1,2018,2018,Best Rap Performance
kenny loggins,1,1980,1980,"Best Pop Vocal Performance, Male"
kenny rogers,2,1977,1979,"Best Country Vocal Performance, Male"
khalid,1,2019,2019,Record Of The Year
killswitch engage,1,2019,2019,Best Metal Performance
kim carnes,1,1981,1981,Record Of The Year
king curtis,1,1969,1969,Best R&B Instrumental Performance
kings of leon,3,2008,2009,Best Rock Performance By A Duo Or Group With Vocals | Record Of The Year
kirk franklin,7,1996,2019,Best Contemporary R&B Gospel Album | Best Contemporary Soul Gospel Album | Best Gospel Album
kitaro,1,2000,2000,Best New Age Album
koffee,1,2019,2019,Best Reggae Album
korn,2,1999,2002,Best Metal Performance | Best Short Form Music Video
kraftwerk,1,2017,2017,Best Dance/Electronic Album
kris kristofferson,2,1973,1975,Best Country Vocal Performance By A Duo Or Group
kristen anderson-lopez,1,2014,2014,Best Song Written For Visual Media
kurt elling,1,2009,2009,Best Jazz Vocal Album
kylie minogue,1,2003,2003,Best Dance Recording
la energia norteña,1,2019,2019,Best Regional Mexican Music Album (Including Tejano)
la ley,1,2000,2000,Best Latin Rock/Alternative Album
la mafia,2,1996,1997,Best Mexican-American/Tejano Music Performance
la quinta estación,1,2009,2009,Best Latin Pop Album
la roux,1,2010,2010,Best Electronic/Dance Album
la santa cecilia,1,2013,2013,"Best Latin Rock, Urban Or Alternative Album"
lady antebellum,5,2009,2011,Best Country Album | Best Country Performance By A Duo Or Group With Vocals | Record Of The Year
lady gaga,8,2009,2019,Best Compilation Soundtrack For Visual Media | Best Dance Recording | Best Electronic/Dance Album | Best Female Pop Vocal Performance | Best Pop Duo/Group Performance | Best Pop Solo Performance | Best Pop Vocal Album | Best Short Form Music Video
ladysmith black mambazo,5,1987,2017,Best Traditional Folk Recording | Best Traditional World Music Album | Best World Music Album
lalah hathaway,3,2015,2016,Best R&B Album | Best Traditional R&B Performance
"lambert, hendricks and ross",1,1961,1961,Best Performance By A Vocal Group
lana del rey,1,2019,2019,Album Of The Year
lani hall,1,1985,1985,Best Latin Pop Performance
larkin poe,1,2019,2019,Best Contemporary Blues Album
larnelle harris,3,1985,1988,"Best Gospel Performance, Male"
larry carlton,4,1981,2010,"Best Pop Instrumental Album | Best Pop Instrumental Performance | Best Pop Instrumental Performance (Orchestra, Group Or Soloist)"
larry hart,1,1978,1978,"Best Gospel Performance, Contemporary Or Inspirational"
laura pausini,1,2005,2005,Best Latin Pop Album
laura sullivan,1,2013,2013,Best New Age Album
lauren daigle,1,2018,2018,Best Contemporary Christian Music Album
laurindo almeida,1,1964,1964,Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group
lauryn hill,3,1998,1998,Album Of The Year | Best Female R&B Vocal Performance | Best R&B Album
lcd soundsystem,1,2017,2017,Best Dance Recording
le'andria johnson,1,2011,2011,Best Gospel/Contemporary Christian Music Performance
leann rimes,1,1996,1996,Best Female Country Vocal Performance
lecrae,1,2012,2012,Best Gospel Album
led zeppelin,1,2013,2013,Best Rock Album
"lee ""scratch"" perry",1,2002,2002,Best Reggae Album
lee greenwood,1,1983,1983,"Best Country Vocal Performance, Male"
lena horne,2,1981,1995,"Best Jazz Vocal Performance | Best Pop Vocal Performance, Female"
lenny kravitz,4,1998,2001,Best Male Rock Vocal Performance
leon bridges,1,2018,2018,Best Traditional R&B Performance
leonard bernstein,4,1961,1963,Best Documentary Or Spoken Word Recording (Other Than Comedy) | Best Recording For Children
leonard cohen,1,2017,2017,Best Rock Performance
les crane,1,1971,1971,Best Spoken Word Recording
les paul,2,2005,2005,Best Pop Instrumental Performance | Best Rock Instrumental Performance
lettuce,1,2019,2019,Best Contemporary Instrumental Album
levar burton,1,1999,1999,Best Spoken Word Album
levon helm,3,2007,2011,Best Americana Album | Best Traditional Folk Album
lewis black,2,2006,2010,Best Comedy Album
lil baby,1,2019,2019,Best Rap/Sung Performance
lil nas x,5,2019,2019,Album Of The Year | Best Music Video | Best Pop Duo/Group Performance | Best Rap/Sung Performance | Record Of The Year
lil wayne,2,2008,2008,Best Rap Album | Best Rap Solo Performance
lila downs,1,2012,2012,Best Regional Mexican Music Album (Including Tejano)
lily tomlin,1,1971,1971,Best Comedy Recording
"lin-manuel miranda, songwriter",1,2017,2017,Best Song Written For Visual Media
linda ronstadt,8,1975,1996,"Best Country Vocal Performance, Female | Best Mexican-American Album | Best Mexican-American Performance | Best Musical Album For Children | Best Pop Performance By A Duo Or Group With Vocal | Best Pop Vocal Performance, Female | Best Tropical Latin Album"
linkin park,1,2001,2001,Best Hard Rock Performance
lionel richie,2,1982,1984,"Album Of The Year | Best Pop Vocal Performance, Male"
lisa fischer,1,1991,1991,"Best R&B Vocal Performance, Female"
lisa loeb,1,2017,2017,Best Children'S Album
little big town,4,2012,2019,Best Country Duo/Group Performance
little joe,3,1991,2010,Best Mexican-American Album | Best Tejano Album
little joe y la familia,1,2005,2005,Best Tejano Album
living colour,2,1989,1990,Best Hard Rock Performance
lizzo,6,2019,2019,Album Of The Year | Best Pop Solo Performance | Best R&B Performance | Best Traditional R&B Performance | Best Urban Contemporary Album | Record Of The Year
ll cool j,2,1991,1996,Best Rap Solo Performance
"lonnie lynn, che smith",1,2015,2015,Best Song Written For Visual Media
lorde,1,2013,2013,Best Pop Solo Performance
loretta lynn,2,2004,2004,Best Country Album | Best Country Collaboration With Vocals
los angeles guitar quartet,1,2004,2004,Best Classical Crossover Album
los fabulosos cadillacs,1,1997,1997,Best Latin Rock/Alternative Performance
los lobos,3,1983,1995,Best Mexican-American Performance | Best Pop Instrumental Performance
los lonely boys,1,2004,2004,Best Pop Performance By A Duo Or Group With Vocal
los palominos,1,1999,1999,Best Tejano Performance
los super seven,1,1998,1998,Best Mexican-American Music Performance
los texmaniacs,1,2009,2009,Best Tejano Album
los tigres del norte,7,1987,2015,Best Banda Or Norteño Album | Best Mexican-American Performance | Best Norteño Album | Best Regional Mexican Music Album (Including Tejano)
los van van,1,1999,1999,Best Salsa Performance
lost bayou ramblers,1,2017,2017,Best Regional Roots Music Album
lou rawls,3,1967,1977,"Best R&B Vocal Performance, Male | Best Rhythm & Blues Solo Vocal Performance, Male"
lou reed,1,1998,1998,Best Long Form Music Video
loudon wainwright iii,1,2009,2009,Best Traditional Folk Album
louis armstrong,1,1964,1964,"Best Vocal Performance, Male"
louis c.k.,2,2011,2015,Best Comedy Album
"lucas richman, various artists",1,2010,2010,Best Classical Crossover Album
lucinda williams,2,1998,2001,Best Contemporary Folk Album | Best Female Rock Vocal Performance
lucky daye,3,2019,2019,Best R&B Album | Best R&B Performance | Best Traditional R&B Performance
lucy kalantari,1,2018,2018,Best Children'S Album
ludacris,1,2006,2006,Best Rap Album
luis enrique,1,2009,2009,Best Tropical Latin Album
luis enrique + c4 trio,1,2019,2019,Best Tropical Latin Album
luis fonsi,1,2019,2019,Best Latin Pop Album
luis miguel,6,1984,2018,Best Latin Pop Album | Best Latin Pop Performance | Best Mexican-American Performance | Best Mexican/Mexican-American Album | Best Regional Mexican Music Album (Including Tejano)
lupe fiasco,1,2007,2007,Best Urban/Alternative Performance
lupillo rivera,1,2009,2009,Best Banda Album
luther vandross,5,1990,2003,"Best Male R&B Vocal Performance | Best R&B Album | Best R&B Vocal Performance, Male"
lyle lovett,2,1989,1996,"Best Country Album | Best Country Vocal Performance, Male"
lynn anderson,1,1970,1970,"Best Country Vocal Performance, Female"
m.c. hammer,2,1990,1990,Best Music Video - Long Form | Best Rap Solo Performance
machito,1,1982,1982,Best Latin Recording
macklemore,2,2013,2013,Best Rap Album | Best Rap Performance
macy gray,1,2000,2000,Best Female Pop Vocal Performance
madison cunningham,1,2019,2019,Best Americana Album
madonna,7,1991,2007,"Best Dance Recording | Best Electronic/Dance Album | Best Long Form Music Video | Best Music Video, Long Form | Best Pop Album | Best Short Form Music Video | Best Song Written For A Motion Picture, Television Or Other Visual Media."
mahalia jackson,3,1961,1976,Best Gospel Or Other Religious Recording | Best Soul Gospel Performance
maluma,1,2019,2019,Best Latin Pop Album
mamadou diabate,1,2009,2009,Best Traditional World Music Album
mamas and the papas,1,1966,1966,"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental"
mandisa,1,2013,2013,Best Contemporary Christian Music Album
manhattans,1,1980,1980,Best R&B Performance By A Duo Or Group With Vocal
maná,4,1998,2011,"Best Latin Pop, Rock, Or Urban Album | Best Latin Rock, Alternative Or Urban Album | Best Latin Rock/Alternative Album | Best Latin Rock/Alternative Performance"
marc anthony,3,1998,2019,Best Latin Pop Album | Best Tropical Latin Album | Best Tropical Latin Performance
marcus miller,1,2001,2001,Best Contemporary Jazz Album
maren morris,2,2016,2019,Best Country Duo/Group Performance | Best Country Solo Performance
maria schneider orchestra,2,2004,2015,Best Large Jazz Ensemble Album
mariachi divas,1,2008,2008,Best Regional Mexican Album
mariachi divas de cindy shea,2,2013,2019,Best Regional Mexican Music Album (Including Tejano)
mariachi los camperos,1,2019,2019,Best Regional Mexican Music Album (Including Tejano)
mariachi los camperos de nati cano,1,2008,2008,Best Regional Mexican Album
mariah carey,3,1990,2005,"Best Contemporary R&B Album | Best Female R&B Vocal Performance | Best Pop Vocal Performance, Female"
marilyn mccoo,1,1976,1976,"Best R&B Vocal Performance By A Duo, Group Or Chorus"
mark guiliana,1,2019,2019,Best Contemporary Instrumental Album
mark isham,1,1990,1990,Best New Age Performance
mark o'connor,1,1991,1991,Best Country Instrumental Performance
mark ronson,2,2015,2015,Best Pop Duo/Group Performance | Record Of The Year
marlow rosado y la riqueña,1,2012,2012,Best Tropical Latin Album
maroon 5,2,2005,2007,Best Pop Performance By A Duo Or Group With Vocal | Best Pop Performance By A Duo Or Group With Vocals
martin luther king jr.,1,1970,1970,Best Spoken Word Recording
marty robbins,1,1960,1960,Best Country & Western Performance
marty stuart,1,2010,2010,Best Country Instrumental Performance
marvin gaye,2,1982,1982,"Best R&B Instrumental Performance | Best R&B Vocal Performance, Male"
marvin hamlisch,1,1974,1974,Best Pop Instrumental Performance
marvin miller,2,1965,1966,Best Recording For Children
marvin winans,1,1985,1985,"Best Soul Gospel Performance, Male"
mary chapin carpenter,5,1991,1994,"Best Country Album | Best Country Vocal Performance, Female | Best Female Country Vocal Performance"
mary j. blige,4,2002,2008,Best Contemporary R&B Album | Best Female R&B Vocal Performance | Best R&B Album
mary mary,2,2000,2008,Best Contemporary Soul Gospel Album | Best Gospel Performance
mary youngblood,2,2002,2006,Best Native American Music Album
mason williams,1,1968,1968,"Best Contemporary Pop Performance, Instrumental"
mastodon,1,2017,2017,Best Metal Performance
matt redman,1,2012,2012,Best Gospel/Contemporary Christian Music Performance
mavis staples,2,2010,2015,Best American Roots Performance | Best Americana Album
"max martin, shellback",1,2016,2016,Best Song Written For Visual Media
maxwell,2,2009,2009,Best Male R&B Vocal Performance | Best R&B Album
maya angelou,3,1993,2002,Best Spoken Word Album | Best Spoken Word Or Non-Musical Album
mccoy tyner,1,2004,2004,"Best Jazz Instrumental Album, Individual Or Group"
mccoy tyner big band,2,1992,1994,Best Large Jazz Ensemble Performance
mccoy tyner trio,1,1995,1995,"Best Jazz Instrumental Performance, Individual Or Group"
meat loaf,1,1993,1993,"Best Rock Vocal Performance, Solo"
meduza,1,2019,2019,Best Dance Recording
meek mill,1,2019,2019,Best Rap Album
megadeth,1,2016,2016,Best Metal Performance
mel brooks,2,1998,2001,Best Long Form Music Video | Best Spoken Comedy Album
mel tormé,2,1982,1983,"Best Jazz Vocal Performance, Male"
melissa etheridge,2,1992,1994,"Best Female Rock Vocal Performance | Best Rock Vocal Performance, Female"
melissa manchester,1,1982,1982,"Best Pop Vocal Performance, Female"
"melle mel, ice-t, big daddy kane, kool moe dee, quincy jones",1,1990,1990,Best Rap Performance By A Duo Or Group
mercer ellington,1,1987,1987,"Best Jazz Instrumental Performance, Big Band"
merle haggard,1,1984,1984,"Best Country Vocal Performance, Male"
merle watson,1,1974,1974,Best Ethnic Or Traditional Recording
metallica,8,1989,2008,Best Hard Rock Performance | Best Metal Performance | Best Rock Instrumental Performance
method man,1,1995,1995,Best Rap Performance By A Duo Or Group
mfsb,1,1974,1974,Best R&B Instrumental Performance
michael bolton,2,1989,1991,"Best Pop Vocal Performance, Male"
michael brecker,2,1996,2007,"Best Jazz Instrumental Album, Individual Or Group | Best Jazz Instrumental Performance, Individual Or Group"
michael brecker quindectet,1,2003,2003,Best Large Jazz Ensemble Album
michael bublé,5,2007,2019,Best Traditional Pop Vocal Album
michael cleveland,1,2019,2019,Best Bluegrass Album
michael hedges,1,1997,1997,Best New Age Album
michael j. fox,1,2009,2009,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)"
michael jackson,10,1979,1995,"Album Of The Year | Best Music Video - Short Form | Best Music Video, Short Form | Best Pop Vocal Performance, Male | Best R&B Vocal Performance, Male | Best Recording For Children | Best Rock Vocal Performance, Male | Best Video Album | Record Of The Year"
michael kamen,1,1991,1991,Best Pop Instrumental Performance
michael nesmith,1,1981,1981,Video Of The Year
michael w. smith,3,1984,2003,"Best Gospel Performance, Male | Best Pop/Contemporary Gospel Album"
michel camilo,1,2003,2003,Best Latin Jazz Album
michel legrand,1,1975,1975,Best Jazz Performance By A Big Band
michelle obama,1,2019,2019,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
mickey hart,1,1991,1991,Best World Music Album
"mickey hart, zakir hussain, sikiru adepoju",1,2008,2008,Best Contemporary World Music Album
mighty clouds of joy,3,1978,1991,"Best Soul Gospel Performance, Traditional | Best Traditional Soul Gospel Album"
miguel zenón,1,2019,2019,Best Latin Jazz Album
miho hazama,1,2019,2019,Best Large Jazz Ensemble Album
mike farris,1,2014,2014,Best Roots Gospel Album
mike holober,1,2019,2019,Best Large Jazz Ensemble Album
mike nichols and elaine may,1,1961,1961,Best Comedy Performance
miles davis,4,1970,1993,"Best Jazz Instrumental Performance, Big Band | Best Jazz Performance - Large Group Or Soloist With Large Group | Best Large Jazz Ensemble Performance | Best R&B Instrumental Performance"
milton nascimento,1,1997,1997,Best World Music Album
mingus big band,1,2010,2010,Best Large Jazz Ensemble Album
miranda lambert,2,2010,2014,Best Country Album | Best Female Country Vocal Performance
"missy ""misdemeanor"" elliott",1,2001,2001,Best Rap Solo Performance
missy elliott,3,2002,2005,Best Female Rap Solo Performance | Best Short Form Music Video
missy raines,1,2019,2019,Best Bluegrass Album
mongo santamaria,1,1977,1977,Best Latin Recording
morgan heritage,1,2015,2015,Best Reggae Album
motörhead,1,2004,2004,Best Metal Performance
muddy waters,6,1971,1979,Best Ethnic Or Traditional Recording | Best Ethnic Or Traditional Recording (Including Traditional Blues)
mumford,2,2012,2012,Album Of The Year | Best Long Form Music Video
muse,2,2010,2015,Best Rock Album
mustard,1,2019,2019,Best Rap/Sung Performance
mylon lefevre,1,1987,1987,"Best Gospel Performance By A Duo Or Group, Choir Or Chorus"
nanci griffith,1,1993,1993,Best Contemporary Folk Album
nancy wilson,3,1964,2006,Best Jazz Vocal Album | Best Rhythm & Blues Recording
nao,1,2019,2019,Best Urban Contemporary Album
nashville brass,1,1969,1969,Best Country Instrumental Performance
"nat ""king"" cole",1,1959,1959,"Best Performance By A ""Top 40"" Artist"
natalia lafourcade,1,2015,2015,"Best Latin Rock, Urban Or Alternative Album"
natalie cole,8,1975,2008,"Album Of The Year | Best Jazz Vocal Performance | Best Pop Collaboration With Vocals | Best R&B Vocal Performance, Female | Best Traditional Pop Performance | Best Traditional Pop Vocal Album | Record Of The Year"
nathalie joachim,1,2019,2019,Best World Music Album
naughty by nature,1,1995,1995,Best Rap Album
ne-yo,2,2007,2008,Best Contemporary R&B Album | Best Male R&B Vocal Performance
neela vaswani,1,2014,2014,Best Children'S Album
nelly,2,2002,2002,Best Male Rap Solo Performance | Best Rap/Sung Collaboration
nelly furtado,1,2001,2001,Best Female Pop Vocal Performance
"nelly, p. diddy",1,2003,2003,Best Rap Performance By A Duo Or Group
neville brothers,1,1989,1989,Best Pop Instrumental Performance
new orleans jazz orchestra,1,2009,2009,Best Large Jazz Ensemble Album
new vaudeville band,1,1966,1966,Best Contemporary (R&R) Recording
nickel creek,1,2002,2002,Best Contemporary Folk Album
nine inch nails,2,1992,1995,Best Metal Performance
nipsey hussle,1,2019,2019,Best Rap Performance
nirvana,1,1995,1995,Best Alternative Music Performance
nitty gritty dirt band,3,1989,2004,Best Bluegrass Recording | Best Country Instrumental Performance | Best Country Performance By A Duo Or Group With Vocal
no doubt,2,2002,2003,Best Pop Performance By A Duo Or Group With Vocal
norah jones,5,2002,2004,Album Of The Year | Best Female Pop Vocal Performance | Best Pop Vocal Album | Record Of The Year
norman brown,1,2002,2002,Best Pop Instrumental Album
norman luboff choir,1,1960,1960,Best Performance By A Chorus (7 Or More Persons)
northern cree,1,2019,2019,Best Regional Roots Music Album
o'connor band,1,2016,2016,Best Bluegrass Album
offset,1,2019,2019,Best Rap Performance
ok go,1,2006,2006,Best Short Form Music Video
old crow medicine show,1,2014,2014,Best Folk Album
olga tañón,2,2000,2001,Best Merengue Album
olivia newton-john,4,1973,1982,"Best Country Vocal Performance, Female | Best Pop Vocal Performance, Female | Record Of The Year | Video Of The Year"
omar akram,1,2012,2012,Best New Age Album
opium moon,1,2018,2018,Best New Age Album
original cast,1,1961,1961,Best Sound Track Album Or Recording Of Original Cast From Motion Picture Or Television
orson welles,2,1978,1981,"Best Spoken Word Recording | Best Spoken Word, Documentary Or Drama Recording"
oscar peterson trio,1,1991,1991,"Best Jazz Instrumental Performance, Group"
ossie davis,1,2006,2006,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)"
otis redding,1,1968,1968,"Best Rhythm & Blues Vocal Performance, Male"
otis rush,1,1998,1998,Best Traditional Blues Album
outkast,6,2001,2003,Album Of The Year | Best Rap Album | Best Rap Performance By A Duo Or Group | Best Urban/Alternative Performance
ozomatli,2,2001,2004,Best Latin Rock/Alternative Album
ozzy osbourne,1,1993,1993,Best Metal Performance With Vocal
pablo ziegler trio,1,2017,2017,Best Latin Jazz Album
pacific mambo orchestra,1,2013,2013,Best Tropical Latin Album
paquito d'rivera,1,1996,1996,Best Latin Jazz Performance
paquito d'rivera and trio corrente,1,2013,2013,Best Latin Jazz Album
paquito d'rivera quintet?,1,2007,2007,Best Latin Jazz Album
pat benatar,4,1980,1983,"Best Rock Vocal Performance, Female"
pat carroll,1,1980,1980,"Best Spoken Word, Documentary Or Drama"
pat metheny,4,1982,2011,"Best Contemporary Jazz Performance (Instrumental) | Best Jazz Fusion Performance, Vocal Or Instrumental | Best New Age Album"
pat metheny group,10,1983,2005,"Best Contemporary Jazz Album | Best Contemporary Jazz Performance | Best Contemporary Jazz Performance (Instrumental) | Best Jazz Fusion Performance | Best Jazz Fusion Performance, Vocal Or Instrumental | Best Rock Instrumental Performance"
pat metheny unity band,1,2012,2012,Best Jazz Instrumental Album
patrick stewart,1,1995,1995,Best Spoken Word Album For Children
patti austin,1,2007,2007,Best Jazz Vocal Album
patti labelle,2,1991,1998,"Best R&B Vocal Performance, Female | Best Traditional R&B Vocal Performance"
patti page,1,1998,1998,Best Traditional Pop Vocal Performance
patton oswalt,1,2016,2016,Best Comedy Album
patty griffin,2,2010,2019,Best Folk Album | Best Traditional Gospel Album
patty loveless,1,2010,2010,Best Bluegrass Album
paul avgerinos,1,2015,2015,Best New Age Album
paul mccartney,6,1966,2013,"Best Contemporary (R&R) Solo Vocal Performance - Male Or Female | Best Music Film | Best Pop Vocal Performance By A Duo, Group Or Chorus | Best Rock Instrumental Performance | Best Solo Rock Vocal Performance | Best Traditional Pop Vocal Album"
paul simon,4,1975,1987,"Album Of The Year | Best Pop Vocal Performance, Male | Record Of The Year"
paul winter,2,1994,1999,Best New Age Album
paul winter consort,4,1993,2010,Best New Age Album
paula abdul,1,1990,1990,Best Music Video - Short Form
peabo bryson,1,1993,1993,Best Pop Performance By A Duo Or Group With Vocal
pearl jam,1,1995,1995,Best Hard Rock Performance
peggy lee,1,1969,1969,"Best Contemporary Vocal Performance, Female"
pentatonix,1,2016,2016,Best Country Duo/Group Performance
pepe aguilar,4,2000,2011,Best Mexican/Mexican-American Album | Best Regional Mexican Or Tejano Album
percy faith,1,1960,1960,Record Of The Year
percy faith orchestra and chorus,1,1969,1969,Best Contemporary Performance By A Chorus
perry como,1,1958,1958,"Best Vocal Performance, Male"
pete seeger,3,1996,2010,Best Musical Album For Children | Best Traditional Folk Album
peter frampton,1,2006,2006,Best Pop Instrumental Album
peter gabriel,5,1989,2008,"Best Music Video - Short Form | Best Music Video, Long Form | Best New Age Performance | Best Song Written For Motion Picture, Television Or Other Visual Media"
peter kater,2,2017,2019,Best New Age Album
peter nero,1,1962,1962,Best Performance By An Orchestra Or Instrumentalist With Orchestra - Primarily Not Jazz Or For Dancing
peter schickele,4,1989,1992,Best Comedy Album | Best Comedy Recording
"peter schickele, narrator; the chestnut brass company",1,1999,1999,Best Classical Crossover Album
peter tosh,1,1987,1987,Best Reggae Recording
peter ustinov,1,1959,1959,Best Recording For Children
"peter, paul and mary",5,1962,1969,Best Folk Recording | Best Performance By A Vocal Group | Best Recording For Children
petra,4,1990,2000,Best Rock Gospel Album | Best Rock/Contemporary Gospel Album
petula clark,2,1964,1965,Best Contemporary (R&R) Vocal Performance - Female | Best Rock & Roll Recording
pharrell williams,3,2014,2014,Best Music Video | Best Pop Solo Performance | Best Urban Contemporary Album
phil collins,6,1984,1999,"Album Of The Year | Best Pop Vocal Performance, Male | Best Song Written Specifically For A Motion Picture Or Television | Best Soundtrack Album | Record Of The Year"
phil woods,1,1977,1977,Best Jazz Performance By A Group
phil woods quartet,1,1982,1982,"Best Jazz Instrumental Performance, Group"
philip bailey,1,1986,1986,"Best Gospel Performance, Male"
phoenix,1,2009,2009,Best Alternative Music Album
pinetop perkins,1,2010,2010,Best Traditional Blues Album
pink,1,2003,2003,Best Female Rock Vocal Performance
pink floyd,1,1994,1994,Best Rock Instrumental Performance
pistol annies,1,2019,2019,Best Country Album
pitbull,1,2015,2015,"Best Latin Rock, Urban Or Alternative Album"
pj morton,3,2018,2019,Best R&B Album | Best Traditional R&B Performance
placido domingo,2,1984,1999,Best Latin Pop Performance | Best Mexican-American Performance
poncho sanchez,1,1999,1999,Best Latin Jazz Performance
pops staples,1,1994,1994,Best Contemporary Blues Album
porter wagoner,1,1969,1969,Best Gospel Performance
porter wagoner and the blackwood brothers,1,1966,1966,Best Sacred Recording (Musical)
porter wagoner and the blackwood brothers quartet,1,1967,1967,Best Gospel Performance
portugal. the man,1,2017,2017,Best Pop Duo/Group Performance
post malone,2,2019,2019,Best Pop Duo/Group Performance | Record Of The Year
prince,5,1984,2007,Best Male R&B Vocal Performance | Best R&B Performance By A Duo Or Group With Vocal | Best Rock Performance By A Duo Or Group With Vocal | Best Traditional R&B Vocal Performance
professor longhair,1,1987,1987,Best Traditional Blues Recording
puff daddy,2,1997,1997,Best Rap Album | Best Rap Performance By A Duo Or Group
punch brothers,1,2018,2018,Best Folk Album
queen ida,1,1982,1982,Best Ethnic Or Traditional Folk Recording
queen latifah,1,1994,1994,Best Rap Solo Performance
quetzal,1,2012,2012,"Best Latin Rock, Urban Or Alternative Album"
quincy jones,7,1969,2018,"Album Of The Year | Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group | Best Jazz Fusion Performance | Best Music Film | Best Pop Instrumental Performance | Best R&B Performance By A Duo Or Group With Vocal | Best Spoken Word Album"
r. kelly,1,1997,1997,Best Male R&B Vocal Performance
"r. kelly, songwriter",1,1997,1997,Best Song Written Specifically For A Motion Picture Or For Television
r.e.m.,3,1991,1991,Best Alternative Music Album | Best Music Video - Short Form | Best Pop Performance By A Duo Or Group With Vocal
radiohead,3,1997,2008,Best Alternative Music Album | Best Alternative Music Performance
rage against the machine,2,1996,2000,Best Hard Rock Performance | Best Metal Performance
ralph stanley,1,2001,2001,Best Male Country Vocal Performance
ramblin' jack elliott,2,1995,2009,Best Traditional Blues Album | Best Traditional Folk Album
ramsey lewis,2,1966,1973,"Best R&B Instrumental Performance | Best Rhythm & Blues Group Performance, Vocal Or Instrumental"
ramsey lewis trio,1,1965,1965,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group
ramón ayala y sus bravos del norte,1,2001,2001,Best Mexican/Mexican-American Album
randy brecker,4,1997,2008,Best Contemporary Jazz Album | Best Contemporary Jazz Performance | Best Large Jazz Ensemble Album
"randy brecker, włodek pawlik trio",1,2013,2013,Best Large Jazz Ensemble Album
"randy newman, songwriter",3,2000,2006,"Best Song Written For A Motion Picture, Television Or Other Visual Media | Best Song Written For A Motion Picture, Television Or Other Visual Media. | Best Song Written For Motion Picture, Television Or Other Visual Media"
randy scruggs,2,1989,1998,Best Country Instrumental Performance
randy travis,5,1987,2006,"Best Country Vocal Performance, Male | Best Southern, Country, Or Bluegrass Gospel Album"
ranky tanky,1,2019,2019,Best Regional Roots Music Album
ravi shankar,2,2001,2012,Best World Music Album
ray charles,18,1960,2005,"Album Of The Year | Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media | Best Gospel Performance | Best Performance By A Pop Single Artist | Best Pop Collaboration With Vocals | Best Pop Vocal Album | Best R&B Performance By A Duo Or Group With Vocal | Best R&B Vocal Performance, Male | Best Rhythm & Blues Performance | Best Rhythm & Blues Recording | Best Rhythm & Blues Solo Vocal Performance, Male Or Female | Best Vocal Performance Album, Male | Best Vocal Performance Single Record Or Track, Male | Record Of The Year"
ray conniff singers,1,1966,1966,Best Performance By A Chorus
ray lamontagne and the pariah dogs,1,2010,2010,Best Contemporary Folk Album
"ray parker, jr.",1,1984,1984,Best Pop Instrumental Performance
ray price,1,1970,1970,"Best Country Vocal Performance, Male"
ray stevens,1,1970,1970,"Best Contemporary Vocal Performance, Male"
