artist_normalized,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
beausoleil,2,1997,2008,Best Traditional Folk Album | Best Zydeco Or Cajun Music Album
bebe,2,2010,2010,Best Contemporary R&B Gospel Album | Best Gospel Performance
bebe winans,2,1988,1989,"Best Gospel Vocal Performance, Male | Best Soul Gospel Performance, Male"
bebo valdés,1,2005,2005,Best Traditional Tropical Latin Album
bebo valdés and chucho valdés,1,2009,2009,Best Latin Jazz Album
bebo valdés trio,1,2002,2002,Best Traditional Tropical Latin Album
beck,6,1996,2018,Album Of The Year | Best Alternative Music Album | Best Alternative Music Performance | Best Male Rock Vocal Performance | Best Rock Album
bee gees,2,1977,1978,"Best Pop Vocal Performance By A Duo, Group Or Chorus | Best Pop Vocal Performance By A Group"
beenie man,1,2000,2000,Best Reggae Album
belafonte folk singers,1,1961,1961,Best Folk Recording
ben harper,3,2004,2013,Best Blues Album | Best Pop Instrumental Performance | Best Traditional Soul Gospel Album
ben kingsley,1,1984,1984,Best Spoken Word Or Non-Musical Recording
bent fabric,1,1962,1962,Best Rock & Roll Recording
bette midler,2,1980,1989,"Best Pop Vocal Performance, Female | Record Of The Year"
betty carter,1,1988,1988,"Best Jazz Vocal Performance, Female"
betty white,1,2011,2011,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
beyoncé,17,2003,2019,Best Contemporary R&B Album | Best Female Pop Vocal Performance | Best Female R&B Vocal Performance | Best Music Film | Best Music Video | Best Pop Solo Performance | Best Pop Vocal Album | Best R&B Performance | Best R&B Performance By A Duo Or Group With Vocals | Best Rap/Sung Collaboration | Best Traditional R&B Performance | Best Traditional R&B Vocal Performance | Best Urban Contemporary Album
big thief,1,2019,2019,Best Alternative Music Album
bill,2,1999,2001,"Best Southern, Country, Or Bluegrass Gospel Album"
bill clinton,1,2004,2004,Best Spoken Word Album
"bill clinton, mikhail gorbachev",1,2003,2003,Best Spoken Word Album For Children
bill cosby,8,1964,1986,Best Comedy Performance | Best Comedy Recording | Best Recording For Children
bill evans,3,1963,1980,"Best Instrumental Jazz Performance - Soloist Or Small Group | Best Jazz Instrumental Performance, Group | Best Jazz Performance - Small Group Or Soloist With Small Group"
bill evans trio,3,1968,1971,Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group | Best Jazz Performance By A Group | Best Jazz Performance By A Soloist
bill frisell,1,2004,2004,Best Contemporary Jazz Album
bill harley,2,2006,2008,Best Spoken Word Album For Children
bill miller,2,2004,2009,Best Native American Music Album
bill monroe,1,1988,1988,Best Bluegrass Recording (Vocal Or Instrumental)
billie eilish,4,2019,2019,Album Of The Year | Best Pop Solo Performance | Best Pop Vocal Album | Record Of The Year
billy childs,1,2017,2017,Best Jazz Instrumental Album
billy joel,4,1978,1980,"Album Of The Year | Best Pop Vocal Performance, Male | Best Rock Vocal Performance, Male | Record Of The Year"
billy may,1,1958,1958,Best Performance By An Orchestra
billy ocean,1,1984,1984,"Best R&B Vocal Performance, Male"
billy paul,1,1972,1972,"Best R&B Vocal Performance, Male"
billy preston,1,1972,1972,Best Pop Instrumental Performance By An Instrumental Performer
bj the chicago kid,2,2019,2019,Best R&B Album | Best Traditional R&B Performance
black eagle,1,2003,2003,Best Native American Music Album
"black keys, the",1,2010,2010,Best Alternative Music Album
black sabbath,2,1999,2013,Best Metal Performance
black uhuru,1,1984,1984,Best Reggae Recording
black:guayaba,1,2007,2007,Best Latin Rock Or Alternative Album
blackstreet,1,1997,1997,Best R&B Performance By A Duo Or Group With Vocal
blackwood brothers,5,1972,1982,"Best Gospel Performance (Other Than Soul Gospel) | Best Gospel Performance, Traditional"
blake shelton,1,2019,2019,Best Country Solo Performance
"blood, sweat and tears",2,1969,1969,Album Of The Year | Best Contemporary Instrumental Performance
blues traveler,1,1995,1995,Best Rock Performance By A Duo Or Group With Vocal
bob dylan,9,1979,2006,"Album Of The Year | Best Contemporary Folk Album | Best Contemporary Folk/Americana Album | Best Long Form Music Video | Best Male Rock Vocal Performance | Best Rock Vocal Performance, Male | Best Solo Rock Vocal Performance | Best Traditional Folk Album"
bob james,1,1980,1980,Best Pop Instrumental Performance
bob mintzer big band,1,2001,2001,Best Large Jazz Ensemble Album
bob newhart,2,1960,1960,Album Of The Year | Best Comedy Performance - Spoken Word
bob seger,1,1980,1980,Best Rock Performance By A Duo Or Group With Vocal
bobbie gentry,2,1967,1967,"Best Contemporary Female Solo Vocal Performance | Best Vocal Performance, Female"
bobby bare,1,1963,1963,Best Country & Western Recording
bobby brown,1,1989,1989,"Best R&B Vocal Performance, Male"
bobby darin,1,1959,1959,Record Of The Year
bobby mcferrin,8,1985,1992,"Best Jazz Vocal Performance | Best Jazz Vocal Performance, Male | Best Pop Vocal Performance, Male | Best Recording For Children | Record Of The Year"
bobby rush,2,2016,2019,Best Traditional Blues Album
bokanté,1,2019,2019,Best World Music Album
bon iver,4,2011,2019,Album Of The Year | Best Alternative Music Album | Record Of The Year
bon jovi,1,2006,2006,Best Country Collaboration With Vocals
bone thugs-n-harmony,1,1996,1996,Best Rap Performance By A Duo Or Group
bones uk,1,2019,2019,Best Rock Performance
bonnie raitt,9,1989,2012,"Album Of The Year | Best Americana Album | Best Pop Album | Best Pop Vocal Performance, Female | Best Rock Performance By A Duo Or Group With Vocal | Best Rock Vocal Performance, Female | Best Rock Vocal Performance, Solo | Best Traditional Blues Recording"
bonobo,1,2019,2019,Best Dance Recording
booker t,1,1994,1994,Best Pop Instrumental Performance
booker t. jones,2,2009,2011,Best Pop Instrumental Album
boris karloff,1,1967,1967,Best Recording For Children
boyz ii men,4,1991,1994,Best R&B Album | Best R&B Performance By A Duo Or Group With Vocal
brad mehldau,1,2019,2019,Best Jazz Instrumental Album
brad paisley,2,2007,2008,Best Country Instrumental Performance | Best Male Country Vocal Performance
"brad paisley, james burton, vince gill, john jorgenson, albert lee, brent mason, redd volkaert",1,2008,2008,Best Country Instrumental Performance
brandi carlile,2,2018,2018,Best American Roots Performance | Best Americana Album
brandy,1,1998,1998,Best R&B Performance By A Duo Or Group With Vocal
branford marsalis,1,1992,1992,"Best Jazz Instrumental Performance, Individual Or Group"
branford marsalis quartet,2,2000,2019,"Best Jazz Instrumental Album | Best Jazz Instrumental Album, Individual Or Group"
brave combo,2,1999,2004,Best Polka Album
brecker brothers,1,1994,1994,Best Contemporary Jazz Performance
brian lynch big band,1,2019,2019,Best Large Jazz Ensemble Album
brian wilson,1,2004,2004,Best Rock Instrumental Performance
bring me the horizon,1,2019,2019,Best Rock Album
britney spears,1,2004,2004,Best Dance Recording
brittany howard,1,2019,2019,Best Rock Performance
brooks,3,1993,2019,Best Country Duo/Group Performance | Best Country Performance By A Duo Or Group With Vocal | Best Country Vocal Performance By A Duo Or Group
brothers johnson,1,1977,1977,Best R&B Instrumental Performance
brothers osborne,1,2019,2019,Best Country Duo/Group Performance
bruce carroll,2,1990,1992,Best Southern Gospel Album
bruce hornsby,1,1993,1993,Best Pop Instrumental Performance
bruce springsteen,13,1984,2009,"Best Contemporary Folk Album | Best Long Form Music Video | Best Male Rock Vocal Performance | Best Rock Album | Best Rock Instrumental Performance | Best Rock Vocal Performance, Male | Best Rock Vocal Performance, Solo | Best Solo Rock Vocal Performance | Best Traditional Folk Album"
"bruce springsteen, songwriter",1,1994,1994,Best Song Written Specifically For A Motion Picture Or For Television
bruno mars,6,2010,2017,Album Of The Year | Best Male Pop Vocal Performance | Best Pop Vocal Album | Best R&B Album | Best R&B Performance | Record Of The Year
"bryan adams, michael kamen",1,1991,1991,Best Song Written Specifically For A Motion Picture Or For Television
bryan sutton,1,2006,2006,Best Country Instrumental Performance
bryn terfel,1,2006,2006,Best Classical Crossover Album
buck howdy,1,2009,2009,Best Spoken Word Album For Children
buckwheat zydeco,1,2009,2009,Best Zydeco Or Cajun Music Album
buddy guy,7,1991,2018,Best Blues Album | Best Contemporary Blues Album | Best Traditional Blues Album
buju banton,1,2010,2010,Best Reggae Album
bunny wailer,3,1990,1996,Best Reggae Album | Best Reggae Recording
burl ives,1,1962,1962,Best Country & Western Recording
burna boy,1,2019,2019,Best World Music Album
burning spear,2,1999,2008,Best Reggae Album
burt bacharach,1,2005,2005,Best Pop Instrumental Album
béla fleck,8,1996,2015,Best Contemporary Jazz Album | Best Contemporary World Music Album | Best Folk Album | Best Pop Instrumental Album | Best Pop Instrumental Performance
"béla fleck, edgar meyer, joshua bell, john williams",1,2001,2001,Best Classical Crossover Album
cachao,2,1994,2011,Best Tropical Latin Album | Best Tropical Latin Performance
caetano veloso,1,1999,1999,Best World Music Album
café tacuba,1,2003,2003,Best Latin Rock/Alternative Album
cage the elephant,2,2016,2019,Best Rock Album
cal tjader,1,1980,1980,Best Latin Recording
calexico and iron,2,2019,2019,Best American Roots Performance | Best Americana Album
calle 13,3,2007,2014,"Best Latin Rock, Alternative Or Urban Album | Best Latin Rock, Urban Or Alternative Album | Best Latin Urban Album"
candlemass,1,2019,2019,Best Metal Performance
cannonball adderley quintet,1,1967,1967,"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group"
captain,1,1975,1975,Record Of The Year
cardi b,1,2018,2018,Best Rap Album
caribbean jazz project,1,2002,2002,Best Latin Jazz Album
carl jackson,1,1991,1991,Best Bluegrass Album
carl sandburg,1,1959,1959,Best Performance - Documentary Or Spoken Word (Other Than Comedy)
carlos santana,1,1988,1988,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)"
carlos vives,2,2001,2014,Best Traditional Tropical Latin Album | Best Tropical Latin Album
"carly simon, songwriter",1,1989,1989,Best Song Written Specifically For A Motion Picture Or Television
carol burnett,1,2016,2016,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
carole king,3,1971,1971,"Album Of The Year | Best Pop Vocal Performance, Female | Record Of The Year"
carolina chocolate drops,1,2010,2010,Best Traditional Folk Album
carpenters,2,1970,1971,"Best Contemporary Vocal Performance By A Duo, Group Or Chorus | Best Pop Vocal Performance By A Duo Or Group"
carrie fisher,1,2017,2017,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)"
carrie underwood,6,2006,2014,Best Country Collaboration With Vocals | Best Country Solo Performance | Best Female Country Vocal Performance
caspar babypants,1,2019,2019,Best Children'S Music Album
cassandra wilson,2,1996,2008,Best Jazz Vocal Album | Best Jazz Vocal Performance
casting crowns,1,2005,2005,Best Pop/Contemporary Gospel Album
catherine russell,1,2019,2019,Best Jazz Vocal Album
cathy fink and marcy marxer,1,2003,2003,Best Musical Album For Children
cece,1,1991,1991,Best Contemporary Soul Gospel Album
cece winans,9,1987,2019,"Best Contemporary Soul Gospel Album | Best Gospel Album | Best Gospel Performance | Best Gospel Vocal Performance, Female | Best Pop/Contemporary Gospel Album | Best Soul Gospel Performance, Female"
cee lo green,2,2010,2011,Best Traditional R&B Performance | Best Urban/Alternative Performance
celia cruz,3,1989,2003,Best Salsa Album | Best Salsa/Merengue Album | Best Tropical Latin Performance
celine dion,5,1992,1998,Album Of The Year | Best Female Pop Vocal Performance | Best Pop Album | Best Pop Performance By A Duo Or Group With Vocal | Record Of The Year
cesaria evora,1,2003,2003,Best Contemporary World Music Album
chaka khan,6,1983,2007,"Best R&B Album | Best R&B Performance By A Duo Or Group With Vocals | Best R&B Vocal Performance, Female | Best Traditional R&B Vocal Performance"
chamillionaire,1,2006,2006,Best Rap Performance By A Duo Or Group
chance the rapper,2,2016,2016,Best Rap Album | Best Rap Performance
charles kuralt,2,1997,1997,Best Spoken Word Album | Best Spoken Word Album For Children
charles laughton,1,1962,1962,Best Documentary Or Spoken Word Recording (Other Than Comedy)
charley pride,3,1971,1972,"Best Country Vocal Performance, Male | Best Gospel Performance (Other Than Soul Gospel) | Best Sacred Performance"
charlie haden,3,1997,2004,"Best Jazz Instrumental Performance, Individual Or Group | Best Latin Jazz Album"
charlie mccoy,1,1972,1972,Best Country Instrumental Performance
charlie rich,1,1973,1973,"Best Country Vocal Performance, Male"
che apalache,1,2019,2019,Best Folk Album
cheech,1,1973,1973,Best Comedy Recording
chente barrera y taconazo,1,2006,2006,Best Tejano Album
cher,1,1999,1999,Best Dance Recording
chet atkins,12,1967,1996,"Best Country Instrumental Performance | Best Country Instrumental Performance (Orchestra, Group Or Soloist) | Best Country Vocal Collaboration | Best Instrumental Performance"
chicago,1,1976,1976,"Best Pop Vocal Performance By A Duo, Group Or Chorus"
chick corea,9,1975,2019,"Best Jazz Instrumental Album, Individual Or Group | Best Jazz Instrumental Performance, Group | Best Jazz Performance By A Group | Best Latin Jazz Album | Best R&B Instrumental Performance (Orchestra, Group Or Soloist)"
chick corea akoustic band,1,1989,1989,"Best Jazz Instrumental Performance, Group"
chick corea trio,1,2014,2014,Best Jazz Instrumental Album
childish gambino,4,2017,2018,Best Music Video | Best Rap/Sung Performance | Best Traditional R&B Performance | Record Of The Year
chip davis,1,1991,1991,Best New Age Album
chris botti,1,2012,2012,Best Pop Instrumental Album
chris brown,1,2011,2011,Best R&B Album
chris cornell,1,2018,2018,Best Rock Performance
chris perez band,1,1999,1999,Best Latin Rock/Alternative Performance
chris rock,3,1997,2005,Best Comedy Album | Best Spoken Comedy Album
chris stapleton,4,2015,2017,Best Country Album | Best Country Solo Performance
chris thile,1,2014,2014,Best Contemporary Instrumental Album
chris tomlin,2,2011,2019,Best Contemporary Christian Music Album
chrisette michele,1,2008,2008,Best Urban/Alternative Performance
christian mcbride big band,2,2011,2017,Best Large Jazz Ensemble Album
christian mcbride’s new jawn,1,2019,2019,Best Jazz Instrumental Album
christian scott atunde adjuah,1,2019,2019,Best Contemporary Instrumental Album
christina aguilera,2,2003,2006,Best Female Pop Vocal Performance
"christina aguilera, lil' kim, mya",1,2001,2001,Best Pop Collaboration With Vocals
"christone ""kingfish"" ingram",1,2019,2019,Best Traditional Blues Album
christopher cross,2,1980,1980,Album Of The Year | Record Of The Year
"christopher guest, eugene levy",1,2003,2003,"Best Song Written For A Motion Picture, Television Or Other Visual Media"
christopher reeve,1,1998,1998,Best Spoken Word Album
chubby carrier and the bayou swamp band,1,2010,2010,Best Zydeco Or Cajun Music Album
chubby checker,1,1961,1961,Best Rock & Roll Recording
chucho valdés,2,2000,2016,Best Latin Jazz Album
chucho valdés and the afro-cuban messengers,1,2010,2010,Best Latin Jazz Album
chuck mangione,1,1978,1978,Best Pop Instrumental Performance
cissy houston,2,1996,1998,Best Traditional Soul Gospel Album
clannad,1,1998,1998,Best New Age Album
clare fischer,1,1981,1981,Best Latin Recording
"clarence ""gatemouth"" brown",1,1982,1982,Best Traditional Blues Recording
claudia brant,1,2018,2018,Best Latin Pop Album
clean bandit,1,2014,2014,Best Dance Recording
cleo laine,1,1985,1985,"Best Jazz Vocal Performance, Female"
clifton chenier,1,1983,1983,Best Ethnic Or Traditional Folk Recording
"clint black, joe diffie, merle haggard, emmylou harris, alison krauss, patty loveless, earl scruggs, ricky skaggs, marty stuart, pam tillis, randy travis, travis tritt",1,1998,1998,Best Country Collaboration With Vocals
coldplay,6,2001,2008,Best Alternative Music Album | Best Pop Performance By A Duo Or Group With Vocals | Best Rock Album | Best Rock Performance By A Duo Or Group With Vocal | Record Of The Year
commodores,1,1985,1985,Best R&B Performance By A Duo Or Group With Vocal
common,1,2007,2007,Best Rap Performance By A Duo Or Group
conway twitty,1,1971,1971,Best Country Vocal Performance By A Duo Or Group
coolio,1,1995,1995,Best Rap Solo Performance
"corea, clarke",1,2011,2011,Best Jazz Instrumental Album
corinne bailey rae,1,2011,2011,Best R&B Performance
cortelia clark,1,1966,1966,Best Folk Recording
