year,category,nominee,artist,workers,winner
2019,Album Of The Year,Norman F***ing Rockwell!,Lana Del Rey,"Jack Antonoff & Lana Del Rey, producers; Jack Antonoff & Laura Sisk, engineers/mixers; Jack Antonoff & Lana Del Rey, songwriters; Chris Gehringer, mastering engineer",1
2019,Album Of The Year,"thank u, next",Ariana Grande,"Tommy Brown, Ilya, Max Martin & Victoria Monet, producers; Serban Ghenea, Sam Holland & Brendan Morawski, engineers/mixers; Tommy Brown, Ariana Grande, Savan Kotecha, Max Martin, Victoria Monet, Tayla Parx & Ilya Salmanzadeh, songwriters; Randy Merrill, mastering engineer",1
2019,Album Of The Year,I Used To Know Her,H.E.R.,"David ""Swagg R'Celious"" Harris, H.E.R., Walter Jones & Jeff Robinson, producers; Miki Tsutsumi, engineer/mixer; Sam Ashworth, Jeff “Gitty” Gitelman, David ""Swagg R'Celious"" Harris & H.E.R., songwriters; Dave Kutch, mastering engineer",1
2019,Album Of The Year,7,Lil Nas X,"Joe Grasso, engineer/mixer; Montero Lamar Hill, songwriter; Eric Lagg, mastering engineer",1
2019,Album Of The Year,Cuz I Love You (Deluxe),Lizzo,"Ricky Reed, producer; Manny Marroquin & Ethan Shumaker, engineers/mixers; Eric Frederic & Melissa Jefferson, songwriters; Chris Gehringer, mastering engineer",1
2019,Album Of The Year,Father Of The Bride,Vampire Weekend,"Ezra Koenig & Ariel Rechtshaid, producers; John DeBold, Chris Kasych, Takemasa Kosaka, Ariel Rechtshaid & Hiroya Takayama, engineers/mixers; Ezra Koenig, songwriter; Emily Lazar, mastering engineer",1
2019,Song Of The Year,Bad Guy,N/A,"Billie Eilish O'Connell & Finneas O'Connell, songwriters (Billie Eilish)",1
2019,Song Of The Year,Always Remember Us This Way,N/A,"Natalie Hemby, Lady Gaga, Hillary Lindsey & Lori McKenna, songwriters (Lady Gaga)",1
2019,Song Of The Year,Bring My Flowers Now,N/A,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)",1
2019,Song Of The Year,Hard Place,N/A,"Ruby Amanfu, Sam Ashworth, D. Arcelious Harris, H.E.R. & Rodney Jerkins, songwriters (H.E.R.)",1
2019,Song Of The Year,Lover,N/A,"Taylor Swift, songwriter (Taylor Swift)",1
2019,Song Of The Year,Norman F***ing Rockwell,N/A,"Jack Antonoff & Lana Del Rey, songwriters (Lana Del Rey)",1
2019,Song Of The Year,Someone You Loved,N/A,"Tom Barnes, Lewis Capaldi, Pete Kelleher, Benjamin Kohn & Sam Roman, songwriters (Lewis Capaldi)",1
2019,Song Of The Year,Truth Hurts,N/A,"Steven Cheung, Eric Frederic, Melissa Jefferson & Jesse Saint John, songwriters (Lizzo)",1
2019,Best New Artist,Billie Eilish,N/A,N/A,1
2019,Best New Artist,Black Pumas,N/A,N/A,1
2019,Best New Artist,Lil Nas X,N/A,N/A,1
2019,Best New Artist,Lizzo,N/A,N/A,1
2019,Best New Artist,Maggie Rogers,N/A,N/A,1
2019,Best New Artist,ROSALÍA,N/A,N/A,1
2019,Best New Artist,Tank And The Bangas,N/A,N/A,1
2019,Best New Artist,Yola,N/A,N/A,1
2019,Best Pop Solo Performance,Truth Hurts,Lizzo,N/A,1
2019,Best Pop Solo Performance,Spirit,Beyoncé,N/A,1
2019,Best Pop Solo Performance,Bad Guy,Billie Eilish,N/A,1
2019,Best Pop Solo Performance,7 rings,Ariana Grande,N/A,1
2019,Best Pop Solo Performance,You Need To Calm Down,Taylor Swift,N/A,1
2019,Best Pop Duo/Group Performance,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,N/A,1
2019,Best Pop Duo/Group Performance,Boyfriend,Ariana Grande & Social House,N/A,1
2019,Best Pop Duo/Group Performance,Sucker,Jonas Brothers,N/A,1
2019,Best Pop Duo/Group Performance,Sunflower,Post Malone & Swae Lee,N/A,1
2019,Best Pop Duo/Group Performance,Señorita,Shawn Mendes & Camila Cabello,N/A,1
2019,Best Traditional Pop Vocal Album,Look Now,Elvis Costello & The Imposters,N/A,1
2019,Best Traditional Pop Vocal Album,Sì,Andrea Bocelli,N/A,1
2019,Best Traditional Pop Vocal Album,Love (Deluxe Edition),Michael Bublé,N/A,1
2019,Best Traditional Pop Vocal Album,A Legendary Christmas,John Legend,N/A,1
2019,Best Traditional Pop Vocal Album,Walls,Barbra Streisand,N/A,1
2019,Best Pop Vocal Album,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,N/A,1
2019,Best Pop Vocal Album,The Lion King: The Gift,Beyoncé,N/A,1
2019,Best Pop Vocal Album,"thank u, next",Ariana Grande,N/A,1
2019,Best Pop Vocal Album,No.6 Collaborations Project,Ed Sheeran,N/A,1
2019,Best Pop Vocal Album,Lover,Taylor Swift,N/A,1
2019,Best Dance Recording,Got To Keep On,The Chemical Brothers,"The Chemical Brothers, producers; Steve Dub Jones & Tom Rowlands, mixers",1
2019,Best Dance Recording,Linked,Bonobo,"Simon Green, producer; Simon Green & Frank Merritt, mixers",1
2019,Best Dance Recording,Piece Of Your Heart,Meduza Featuring Goodboys,"Simone Giani, Luca De Gregorio & Mattia Vitale, producers; Simone Giani, Luca De Gregorio & Mattia Vitale, mixers",1
2019,Best Dance Recording,Underwater,RÜFÜS DU SOL,"Jason Evigan & RÜFÜS DU SOL, producers; Cassian Stewart-Kasimba, mixer",1
2019,Best Dance Recording,Midnight Hour,"Skrillex, Boys Noize & Ty Dolla $ign","Boys Noize & Skrillex, producers; Tom Norris & Skrillex, mixers",1
2019,Best Dance/Electronic Album,No Geography,The Chemical Brothers,N/A,1
2019,Best Dance/Electronic Album,LP5,Apparat,N/A,1
2019,Best Dance/Electronic Album,Hi This Is Flume (Mixtape),Flume,N/A,1
2019,Best Dance/Electronic Album,SOLACE,RÜFÜS DU SOL,N/A,1
2019,Best Dance/Electronic Album,Weather,Tycho Featuring Saint Sinner,N/A,1
2019,Best Contemporary Instrumental Album,Mettavolution,Rodrigo y Gabriela,N/A,1
2019,Best Contemporary Instrumental Album,Ancestral Recall,Christian Scott aTunde Adjuah,N/A,1
2019,Best Contemporary Instrumental Album,Star People Nation,Theo Croker,N/A,1
2019,Best Contemporary Instrumental Album,Beat Music! Beat Music! Beat Music!,Mark Guiliana,N/A,1
2019,Best Contemporary Instrumental Album,Elevate,Lettuce,N/A,1
2019,Best Rock Performance,This Land,Gary Clark Jr.,N/A,1
2019,Best Rock Performance,Pretty Waste,Bones UK,N/A,1
2019,Best Rock Performance,History Repeats,Brittany Howard,N/A,1
2019,Best Rock Performance,Woman,Karen O & Danger Mouse,N/A,1
2019,Best Rock Performance,Too Bad,Rival Sons,N/A,1
2019,Best Metal Performance,7empest,Tool,N/A,1
2019,Best Metal Performance,Astorolus - The Great Octopus,Candlemass Featuring Tony Iommi,N/A,1
2019,Best Metal Performance,Humanicide,Death Angel,N/A,1
2019,Best Metal Performance,Bow Down,I Prevail,N/A,1
2019,Best Metal Performance,Unleashed,Killswitch Engage,N/A,1
2019,Best Rock Song,This Land,N/A,"Gary Clark Jr., songwriter (Gary Clark Jr.)",1
2019,Best Rock Song,Fear Inoculum,N/A,"Danny Carey, Justin Chancellor, Adam Jones & Maynard James Keenan, songwriters (Tool)",1
2019,Best Rock Song,Give Yourself A Try,N/A,"George Daniel, Adam Hann, Matthew Healy & Ross MacDonald, songwriters (The 1975)",1
2019,Best Rock Song,Harmony Hall,N/A,"Ezra Koenig, songwriter (Vampire Weekend)",1
2019,Best Rock Song,History Repeats,N/A,"Brittany Howard, songwriter (Brittany Howard)",1
2019,Best Rock Album,Social Cues,Cage The Elephant,N/A,1
2019,Best Rock Album,amo,Bring Me The Horizon,N/A,1
2019,Best Rock Album,In The End,The Cranberries,N/A,1
2019,Best Rock Album,Trauma,I Prevail,N/A,1
2019,Best Rock Album,Feral Roots,Rival Sons,N/A,1
2019,Best Alternative Music Album,Father Of The Bride,Vampire Weekend,N/A,1
2019,Best Alternative Music Album,U.F.O.F.,Big Thief,N/A,1
2019,Best Alternative Music Album,Assume Form,James Blake,N/A,1
2019,Best Alternative Music Album,"I,I",Bon Iver,N/A,1
2019,Best Alternative Music Album,Anima,Thom Yorke,N/A,1
2019,Best R&B Performance,Come Home,Anderson .Paak Featuring André 3000,N/A,1
2019,Best R&B Performance,Love Again,Daniel Caesar & Brandy,N/A,1
2019,Best R&B Performance,Could've Been,H.E.R. Featuring Bryson Tiller,N/A,1
2019,Best R&B Performance,Exactly How I Feel,Lizzo Featuring Gucci Mane,N/A,1
2019,Best R&B Performance,Roll Some Mo,Lucky Daye,N/A,1
2019,Best Traditional R&B Performance,Jerome,Lizzo,N/A,1
2019,Best Traditional R&B Performance,Time Today,BJ The Chicago Kid,N/A,1
2019,Best Traditional R&B Performance,Steady Love,India.Arie,N/A,1
2019,Best Traditional R&B Performance,Real Games,Lucky Daye,N/A,1
2019,Best Traditional R&B Performance,Built For Love,PJ Morton Featuring Jazmine Sullivan,N/A,1
2019,Best R&B Song,Say So,N/A,"PJ Morton, songwriter (PJ Morton Featuring JoJo)",1
2019,Best R&B Song,Could've Been,N/A,"Dernst Emile II, David “Swagg R’Celious” Harris, H.E.R. & Hue “Soundzfire” Strother, songwriters (H.E.R. Featuring Bryson Tiller)",1
2019,Best R&B Song,Look At Me Now,N/A,"Emily King & Jeremy Most, songwriters (Emily King)",1
2019,Best R&B Song,No Guidance,N/A,"Chris Brown, Tyler James Bryant, Nija Charles, Aubrey Graham, Anderson Hernandez, Joshua Huizar, Michee Patrick Lebrun, Noah Shebib & Teddy Walton, songwriters (Chris Brown Featuring Drake)",1
2019,Best R&B Song,Roll Some Mo,N/A,"David Brown, Dernst Emile II & Peter Lee Johnson, songwriters (Lucky Daye)",1
2019,Best Urban Contemporary Album,Cuz I Love You (Deluxe),Lizzo,N/A,1
2019,Best Urban Contemporary Album,Apollo XXI,Steve Lacy,N/A,1
2019,Best Urban Contemporary Album,Overload,Georgia Anne Muldrow,N/A,1
2019,Best Urban Contemporary Album,Saturn,NAO,N/A,1
2019,Best Urban Contemporary Album,Being Human In Public,Jessie Reyez,N/A,1
2019,Best R&B Album,Ventura,Anderson .Paak,N/A,1
2019,Best R&B Album,1123,BJ The Chicago Kid,N/A,1
2019,Best R&B Album,Painted,Lucky Daye,N/A,1
2019,Best R&B Album,Ella Mai,Ella Mai,N/A,1
2019,Best R&B Album,Paul,PJ Morton,N/A,1
2019,Best Rap Performance,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,N/A,1
2019,Best Rap Performance,Middle Child,J. Cole,N/A,1
2019,Best Rap Performance,Suge,DaBaby,N/A,1
2019,Best Rap Performance,Down Bad,"Dreamville Featuring J.I.D, Bas, J. Cole, EARTHGANG & Young Nudy",N/A,1
2019,Best Rap Performance,Clout,Offset Featuring Cardi B,N/A,1
2019,Best Rap/Sung Performance,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,N/A,1
2019,Best Rap/Sung Performance,Drip Too Hard,Lil Baby & Gunna,N/A,1
2019,Best Rap/Sung Performance,Panini,Lil Nas X,N/A,1
2019,Best Rap/Sung Performance,Ballin',Mustard Featuring Roddy Ricch,N/A,1
2019,Best Rap/Sung Performance,The London,Young Thug Featuring J. Cole & Travis Scott,N/A,1
2019,Best Rap Song,A Lot,N/A,"Jermaine Cole, Dacoury Natche, 21 Savage & Anthony White, songwriters (21 Savage Featuring J. Cole)",1
2019,Best Rap Song,Bad Idea,N/A,"Chancelor Bennett, Cordae Dunston, Uforo Ebong & Daniel Hackett, songwriters (YBN Cordae Featuring Chance The Rapper)",1
2019,Best Rap Song,Gold Roses,N/A,"Noel Cadastre, Aubrey Graham, Anderson Hernandez, Khristopher Riddick-Tynes, William Leonard Roberts II, Joshua Quinton Scruggs, Leon Thomas III & Ozan Yildirim, songwriters (Rick Ross Featuring Drake)",1
2019,Best Rap Song,Racks In The Middle,N/A,"Ermias Asghedom, Dustin James Corbett, Greg Allen Davis, Chauncey Hollis, Jr. & Rodrick Moore, songwriters (Nipsey Hussle Featuring Roddy Ricch & Hit-Boy)",1
2019,Best Rap Song,Suge,N/A,"DaBaby, Jetsonmade & Pooh Beatz, songwriters (DaBaby)",1
2019,Best Rap Album,Igor,"Tyler, The Creator",N/A,1
2019,Best Rap Album,Revenge Of The Dreamers III,Dreamville,N/A,1
2019,Best Rap Album,Championships,Meek Mill,N/A,1
2019,Best Rap Album,I Am > I Was,21 Savage,N/A,1
2019,Best Rap Album,The Lost Boy,YBN Cordae,N/A,1
2019,Best Country Solo Performance,Ride Me Back Home,Willie Nelson,N/A,1
2019,Best Country Solo Performance,All Your’n,Tyler Childers,N/A,1
2019,Best Country Solo Performance,Girl Goin' Nowhere,Ashley McBryde,N/A,1
2019,Best Country Solo Performance,God's Country,Blake Shelton,N/A,1
2019,Best Country Solo Performance,Bring My Flowers Now,Tanya Tucker,N/A,1
2019,Best Country Duo/Group Performance,Speechless,Dan + Shay,N/A,1
2019,Best Country Duo/Group Performance,Brand New Man,Brooks & Dunn With Luke Combs,N/A,1
2019,Best Country Duo/Group Performance,I Don't Remember Me (Before You),Brothers Osborne,N/A,1
2019,Best Country Duo/Group Performance,The Daughters,Little Big Town,N/A,1
2019,Best Country Duo/Group Performance,Common,Maren Morris Featuring Brandi Carlile,N/A,1
2019,Best Country Song,Bring My Flowers Now,N/A,"Brandi Carlile, Phil Hanseroth, Tim Hanseroth & Tanya Tucker, songwriters (Tanya Tucker)",1
2019,Best Country Song,Girl Goin' Nowhere,N/A,"Jeremy Bussey & Ashley McBryde, songwriters (Ashley McBryde)",1
2019,Best Country Song,It All Comes Out In The Wash,N/A,"Miranda Lambert, Hillary Lindsey, Lori McKenna & Liz Rose, songwriters (Miranda Lambert)",1
2019,Best Country Song,Some Of It,N/A,"Eric Church, Clint Daniels, Jeff Hyde & Bobby Pinson, songwriters (Eric Church)",1
2019,Best Country Song,Speechless,N/A,"Shay Mooney, Jordan Reynolds, Dan Smyers & Laura Veltz, songwriters (Dan + Shay)",1
2019,Best Country Album,While I'm Livin',Tanya Tucker,N/A,1
2019,Best Country Album,Desperate Man,Eric Church,N/A,1
2019,Best Country Album,Stronger Than The Truth,Reba McEntire,N/A,1
2019,Best Country Album,Interstate Gospel,Pistol Annies,N/A,1
2019,Best Country Album,Center Point Road,Thomas Rhett,N/A,1
2019,Best New Age Album,Wings,Peter Kater,N/A,1
2019,Best New Age Album,Fairy Dreams,David Arkenstone,N/A,1
2019,Best New Age Album,Homage To Kindness,David Darling,N/A,1
2019,Best New Age Album,Verve,Sebastian Plano,N/A,1
2019,Best New Age Album,Deva,Deva Premal,N/A,1
2019,Best Improvised Jazz Solo,Sozinho,N/A,"Randy Brecker, soloist",1
2019,Best Improvised Jazz Solo,Elsewhere,N/A,"Melissa Aldana, soloist",1
2019,Best Improvised Jazz Solo,Tomorrow Is The Question,N/A,"Julian Lage, soloist",1
2019,Best Improvised Jazz Solo,The Windup,N/A,"Branford Marsalis, soloist",1
2019,Best Improvised Jazz Solo,Sightseeing,N/A,"Christian McBride, soloist",1
2019,Best Jazz Vocal Album,12 Little Spells,Esperanza Spalding,N/A,1
2019,Best Jazz Vocal Album,Thirsty Ghost,Sara Gazarek,N/A,1
2019,Best Jazz Vocal Album,Love & Liberation,Jazzmeia Horn,N/A,1
2019,Best Jazz Vocal Album,Alone Together,Catherine Russell,N/A,1
2019,Best Jazz Vocal Album,Screenplay,Tierney Sutton Band,N/A,1
2019,Best Jazz Instrumental Album,Finding Gabriel,Brad Mehldau,N/A,1
2019,Best Jazz Instrumental Album,In The Key Of The Universe,Joey DeFrancesco,N/A,1
2019,Best Jazz Instrumental Album,The Secret Between The Shadow And The Soul,Branford Marsalis Quartet,N/A,1
2019,Best Jazz Instrumental Album,Christian McBride's New Jawn,Christian McBride’s New Jawn,N/A,1
2019,Best Jazz Instrumental Album,Come What May,Joshua Redman Quartet,N/A,1
2019,Best Large Jazz Ensemble Album,The Omni-American Book Club,Brian Lynch Big Band,N/A,1
2019,Best Large Jazz Ensemble Album,Triple Helix,Anat Cohen Tentet,N/A,1
2019,Best Large Jazz Ensemble Album,Dancer In Nowhere,Miho Hazama,N/A,1
2019,Best Large Jazz Ensemble Album,Hiding Out,Mike Holober & The Gotham Jazz Orchestra,N/A,1
2019,Best Large Jazz Ensemble Album,One Day Wonder,Terraza Big Band,N/A,1
2019,Best Latin Jazz Album,Antidote,Chick Corea & The Spanish Heart Band,N/A,1
2019,Best Latin Jazz Album,Sorte!: Music By John Finbury,"Thalma de Freitas With Vitor Gonçalves, John Patitucci, Chico Pinheiro, Rogerio Boccato & Duduka Da Fonseca",N/A,1
2019,Best Latin Jazz Album,Una Noche Con Rubén Blades,Jazz At Lincoln Center Orchestra With Wynton Marsalis Featuring Rubén Blades,N/A,1
2019,Best Latin Jazz Album,Carib,David Sánchez,N/A,1
2019,Best Latin Jazz Album,Sonero: The Music Of Ismael Rivera,Miguel Zenón,N/A,1
2019,Best Gospel Performance/Song,Love Theory,N/A,"Kirk Franklin; Kirk Franklin, songwriter",1
2019,Best Gospel Performance/Song,Talkin' 'Bout Jesus,N/A,"Gloria Gaynor Featuring Yolanda Adams; Bryan Fowler, Gloria Gaynor & Chris Stevens, songwriters",1
2019,Best Gospel Performance/Song,See The Light,N/A,Travis Greene Featuring Jekalyn Carr,1
2019,Best Gospel Performance/Song,Speak The Name,N/A,Koryn Hawthorne Featuring Natalie Grant,1
2019,Best Gospel Performance/Song,This Is A Move (Live),N/A,"Tasha Cobbs Leonard; Tony Brown, Brandon Lake, Tasha Cobbs Leonard & Nate Moore, songwriters",1
2019,Best Contemporary Christian Music Performance/Song,God Only Knows,N/A,"for KING & COUNTRY & Dolly Parton; Josh Kerr, Jordan Reynolds, Joel Smallbone, Luke Smallbone & Tedd Tjornhom, songwriters",1
2019,Best Contemporary Christian Music Performance/Song,Only Jesus,N/A,"Casting Crowns; Mark Hall, Bernie Herms & Matthew West, songwriters",1
2019,Best Contemporary Christian Music Performance/Song,Haven't Seen It Yet,N/A,"Danny Gokey; Danny Gokey, Ethan Hulse & Colby Wedgeworth, songwriters",1
2019,Best Contemporary Christian Music Performance/Song,God's Not Done With You (Single Version),N/A,Tauren Wells,1
2019,Best Contemporary Christian Music Performance/Song,Rescue Story,N/A,"Zach Williams; Ethan Hulse, Andrew Ripp, Jonathan Smith & Zach Williams, songwriters",1
2019,Best Gospel Album,Long Live Love,Kirk Franklin,N/A,1
2019,Best Gospel Album,Goshen,Donald Lawrence Presents The Tri -City Singers,N/A,1
2019,Best Gospel Album,Tunnel Vision,Gene Moore,N/A,1
2019,Best Gospel Album,Settle Here,William Murphy,N/A,1
2019,Best Gospel Album,Something's Happening! A Christmas Album,CeCe Winans,N/A,1
2019,Best Contemporary Christian Music Album,Burn The Ships,for KING & COUNTRY,N/A,1
2019,Best Contemporary Christian Music Album,I Know A Ghost,Crowder,N/A,1
2019,Best Contemporary Christian Music Album,Haven't Seen It Yet,Danny Gokey,N/A,1
2019,Best Contemporary Christian Music Album,The Elements,TobyMac,N/A,1
2019,Best Contemporary Christian Music Album,Holy Roar,Chris Tomlin,N/A,1
2019,Best Roots Gospel Album,Testimony,Gloria Gaynor,N/A,1
2019,Best Roots Gospel Album,Deeper Roots: Where The Bluegrass Grows,Steven Curtis Chapman,N/A,1
2019,Best Roots Gospel Album,Deeper Oceans,Joseph Habedank,N/A,1
2019,Best Roots Gospel Album,His Name Is Jesus,Tim Menzies,N/A,1
2019,Best Roots Gospel Album,"Gonna Sing, Gonna Shout",(Various Artists),"Jerry Salley, Producer",1
2019,Best Latin Pop Album,#Eldisco,Alejandro Sanz,N/A,1
2019,Best Latin Pop Album,Vida,Luis Fonsi,N/A,1
2019,Best Latin Pop Album,11:11,Maluma,N/A,1
2019,Best Latin Pop Album,Montaner,Ricardo Montaner,N/A,1
2019,Best Latin Pop Album,Fantasia,Sebastian Yatra,N/A,1
2019,"Best Latin Rock, Urban Or Alternative Album",El Mal Querer,ROSALÍA,N/A,1
2019,"Best Latin Rock, Urban Or Alternative Album",X 100Pre,Bad Bunny,N/A,1
2019,"Best Latin Rock, Urban Or Alternative Album",Oasis,J Balvin & Bad Bunny,N/A,1
2019,"Best Latin Rock, Urban Or Alternative Album",Indestructible,Flor De Toloache,N/A,1
2019,"Best Latin Rock, Urban Or Alternative Album",Almadura,iLe,N/A,1
2019,Best Regional Mexican Music Album (Including Tejano),De Ayer Para Siempre,Mariachi Los Camperos,N/A,1
2019,Best Regional Mexican Music Album (Including Tejano),Caminando,Joss Favela,N/A,1
2019,Best Regional Mexican Music Album (Including Tejano),Percepción,Intocable,N/A,1
2019,Best Regional Mexican Music Album (Including Tejano),Poco A Poco,La Energia Norteña,N/A,1
2019,Best Regional Mexican Music Album (Including Tejano),20 Aniversario,Mariachi Divas De Cindy Shea,N/A,1
2019,Best Tropical Latin Album,Opus,Marc Anthony,N/A,1
2019,Best Tropical Latin Album,A Journey Through Cuban Music,Aymée Nuviola,N/A,1
2019,Best Tropical Latin Album,Tiempo Al Tiempo,Luis Enrique + C4 Trio,N/A,1
2019,Best Tropical Latin Album,Candela,Vicente García,N/A,1
2019,Best Tropical Latin Album,Literal,Juan Luis Guerra 4.40,N/A,1
2019,Best American Roots Performance,Saint Honesty,Sara Bareilles,N/A,1
2019,Best American Roots Performance,Father Mountain,Calexico And Iron & Wine,N/A,1
2019,Best American Roots Performance,I'm On My Way,Rhiannon Giddens with Francesco Turrisi,N/A,1
2019,Best American Roots Performance,Call My Name,I'm With Her,N/A,1
2019,Best American Roots Performance,Faraway Look,Yola,N/A,1
2019,Best American Roots Song,Call My Name,N/A,"Sarah Jarosz, Aoife O'Donovan & Sara Watkins, songwriters (I'm With Her)",1
2019,Best American Roots Song,Black Myself,N/A,"Amythyst Kiah, songwriter (Our Native Daughters)",1
2019,Best American Roots Song,Crossing To Jerusalem,N/A,"Rosanne Cash & John Leventhal, songwriters (Rosanne Cash)",1
2019,Best American Roots Song,Faraway Look,N/A,"Dan Auerbach, Pat McLaughlin & Yola, songwriters (Yola)",1
2019,Best American Roots Song,I Don't Wanna Ride The Rails No More,N/A,"Vince Gill, songwriter (Vince Gill)",1
2019,Best Americana Album,Oklahoma,Keb' Mo',N/A,1
2019,Best Americana Album,Years To Burn,Calexico And Iron & Wine,N/A,1
2019,Best Americana Album,Who Are You Now,Madison Cunningham,N/A,1
2019,Best Americana Album,Tales Of America,J.S. Ondara,N/A,1
2019,Best Americana Album,Walk Through Fire,Yola,N/A,1
2019,Best Bluegrass Album,Tall Fiddler,Michael Cleveland,N/A,1
2019,Best Bluegrass Album,"Live In Prague, Czech Republic",Doyle Lawson & Quicksilver,N/A,1
2019,Best Bluegrass Album,"Toil, Tears & Trouble",The Po’ Ramblin’ Boys,N/A,1
2019,Best Bluegrass Album,Royal Traveller,Missy Raines,N/A,1
2019,Best Bluegrass Album,If You Can't Stand The Heat,Frank Solivan & Dirty Kitchen,N/A,1
2019,Best Traditional Blues Album,"Tall, Dark, & Handsome",Delbert McClinton & Self-Made Men + Dana,N/A,1
2019,Best Traditional Blues Album,Kingfish,"Christone ""Kingfish"" Ingram",N/A,1
2019,Best Traditional Blues Album,Sitting On Top Of The Blues,Bobby Rush,N/A,1
2019,Best Traditional Blues Album,"Baby, Please Come Home",Jimmie Vaughan,N/A,1
2019,Best Traditional Blues Album,Spectacular Class,Jontavious Willis,N/A,1
2019,Best Contemporary Blues Album,This Land,Gary Clark Jr.,N/A,1
2019,Best Contemporary Blues Album,Venom & Faith,Larkin Poe,N/A,1
2019,Best Contemporary Blues Album,Brighter Days,Robert Randolph & The Family Band,N/A,1
2019,Best Contemporary Blues Album,Somebody Save Me,Sugaray Rayford,N/A,1
2019,Best Contemporary Blues Album,Keep On,Southern Avenue,N/A,1
2019,Best Folk Album,Patty Griffin,Patty Griffin,N/A,1
2019,Best Folk Album,My Finest Work Yet,Andrew Bird,N/A,1
2019,Best Folk Album,Rearrange My Heart,Che Apalache,N/A,1
2019,Best Folk Album,Evening Machines,Gregory Alan Isakov,N/A,1
2019,Best Folk Album,Front Porch,Joy Williams,N/A,1
2019,Best Regional Roots Music Album,Good Time,Ranky Tanky,N/A,1
2019,Best Regional Roots Music Album,Kalawai’anui,Amy Hānaiali’i,N/A,1
2019,Best Regional Roots Music Album,When It's Cold - Cree Round Dance Songs,Northern Cree,N/A,1
2019,Best Regional Roots Music Album,Recorded Live At The 2019 New Orleans Jazz & Heritage Festival,Rebirth Brass Band,N/A,1
2019,Best Regional Roots Music Album,Hawaiian Lullaby,(Various Artists),"Imua Garza & Kimié Miner, producers",1
2019,Best Reggae Album,Rapture,Koffee,N/A,1
2019,Best Reggae Album,As I Am,Julian Marley,N/A,1
2019,Best Reggae Album,The Final Battle: Sly & Robbie vs. Roots Radics,Sly & Robbie & Roots Radics,N/A,1
2019,Best Reggae Album,Mass Manipulation,Steel Pulse,N/A,1
2019,Best Reggae Album,More Work To Be Done,Third World,N/A,1
2019,Best World Music Album,Celia,Angelique Kidjo,N/A,1
2019,Best World Music Album,Gece,Altin Gün,N/A,1
2019,Best World Music Album,What Heat,Bokanté & Metropole Orkest Conducted By Jules Buckley,N/A,1
2019,Best World Music Album,African Giant,Burna Boy,N/A,1
2019,Best World Music Album,Fanm D'ayiti,Nathalie Joachim With Spektral Quartet,N/A,1
2019,Best Children'S Music Album,Ageless: Songs for the Child Archetype,Jon Samson,N/A,1
2019,Best Children'S Music Album,Flying High!,Caspar Babypants,N/A,1
