artist_key,primary_artist,grammy_winner,grammy_wins,grammy_first_year,grammy_last_year,grammy_categories
289,Afrocidade,False,0,,,N/A
290,OQuadro,False,0,,,N/A
291,Nomade Orquestra,False,0,,,N/A
292,Romperayo,False,0,,,N/A
293,William Onyeabor,False,0,,,N/A
294,Bixiga 70,False,0,,,N/A
295,Orquestra Brasileira de Música Jamaicana,False,0,,,N/A
296,Tony Allen,False,0,,,N/A
297,CalledOut Music,False,0,,,N/A
298,Bang Data,False,0,,,N/A
299,QUITAPENAS,False,0,,,N/A
300,Morbo y Mambo,False,0,,,N/A
301,Letta Mbulu,False,0,,,N/A
302,Subhira,False,0,,,N/A
303,La Misa Negra,False,0,,,N/A
304,Newen Afrobeat,False,0,,,N/A
305,El Hijo De La Cumbia,False,0,,,N/A
306,The Budos Band,False,0,,,N/A
307,The New Mastersounds,False,0,,,N/A
308,Mulatu Astatke,False,0,,,N/A
309,TJ Cream,False,0,,,N/A
310,Caê,False,0,,,N/A
311,Jor'dan Armstrong,False,0,,,N/A
312,Sarah Téibo,False,0,,,N/A
313,Timoneki,False,0,,,N/A
314,Becca Folkes,False,0,,,N/A
315,Thiago França,False,0,,,N/A
316,Money Chicha,False,0,,,N/A
317,Breakestra,False,0,,,N/A
318,Africania,False,0,,,N/A
319,Abayomy Afrobeat Orquestra,False,0,,,N/A
320,Prinx Emmanuel,False,0,,,N/A
321,Cymande,False,0,,,N/A
322,Monophonics,False,0,,,N/A
323,Amplexos,False,0,,,N/A
324,The Bongo Hop,False,0,,,N/A
325,La Cumbia Chicharra,False,0,,,N/A
326,Fela Kuti,False,0,,,N/A
327,Orgone,False,0,,,N/A
328,Grupo Fantasma,True,1,2010,2010,"Best Latin Rock, Alternative Or Urban Album"
329,Lack Of Afro,False,0,,,N/A
330,The Bamboos,False,0,,,N/A
331,Kutiman,False,0,,,N/A
332,Nathanael,False,0,,,N/A
333,Voilaaa,False,0,,,N/A
334,Big Ty,False,0,,,N/A
335,The Poets Of Rhythm,False,0,,,N/A
336,Son Palenque,False,0,,,N/A
337,Ikebe Shakedown,False,0,,,N/A
338,Nosa,False,0,,,N/A
339,The Mighty Imperials,False,0,,,N/A
340,Wganda Kenya,False,0,,,N/A
341,Osibisa,False,0,,,N/A
342,Nero X,False,0,,,N/A
343,Angeloh,False,0,,,N/A
344,Lijadu Sisters,False,0,,,N/A
345,Brownout,False,0,,,N/A
346,Speedometer,False,0,,,N/A
347,Eddie Neblett,False,0,,,N/A
348,São Paulo Ska Jazz,False,0,,,N/A
349,Lafayette Afro Rock Band,False,0,,,N/A
350,Femi Kuti,False,0,,,N/A
351,ATR,False,0,,,N/A
352,Orchestra Baobab,False,0,,,N/A
353,ST-Saint,False,0,,,N/A
354,A Mose,False,0,,,N/A
355,Les Mamans du Congo,False,0,,,N/A
356,Ocote Soul Sounds,False,0,,,N/A
357,Oba Reengy,False,0,,,N/A
358,Orquestra Voadora,False,0,,,N/A
359,Star Feminine Band,False,0,,,N/A
360,Rehmahz,False,0,,,N/A
361,Victor Rice,False,0,,,N/A
362,The Souljazz Orchestra,False,0,,,N/A
363,Ondatrópica,False,0,,,N/A
364,Thee Commons,False,0,,,N/A
365,Kiko Dinucci e Bando Afro Macarrônico,False,0,,,N/A
366,Gyedu-Blay Ambolley,False,0,,,N/A
367,Ebo Taylor,False,0,,,N/A
368,Greyboy,False,0,,,N/A
369,Rex Williams,False,0,,,N/A
370,Akalé Wubé,False,0,,,N/A
371,Ilover,False,0,,,N/A
372,TBabz,False,0,,,N/A
373,Jaron Nurse,False,0,,,N/A
374,Bantunagojeje,False,0,,,N/A
375,The Sound Stylistics,False,0,,,N/A
376,The Soul Snatchers,False,0,,,N/A
377,Vaudou Game,False,0,,,N/A
378,Greatman Takit,False,0,,,N/A
379,Euforquestra,False,0,,,N/A
380,Eben,False,0,,,N/A
381,The Dynamics,False,0,,,N/A
382,Matata,False,0,,,N/A
383,Jungle Fire,False,0,,,N/A
384,Buyepongo,False,0,,,N/A
385,Ricardo Lemvo,False,0,,,N/A
386,Foli Griô Orquestra,False,0,,,N/A
387,Pat Kalla,False,0,,,N/A
388,Iconili,False,0,,,N/A
389,Hektombe,False,0,,,N/A
390,Sharyn,False,0,,,N/A
391,Qyubi,False,0,,,N/A
392,BANTU,False,0,,,N/A
393,Soothsayers,False,0,,,N/A
394,Warsaw Afrobeat Orchestra,False,0,,,N/A
395,Höröyá,False,0,,,N/A
396,Lefties Soul Connection,False,0,,,N/A
397,Marizu,False,0,,,N/A
398,Sambabook,False,0,,,N/A
399,J Prince,False,0,,,N/A
400,Alogte Oho & His Sounds of Joy,False,0,,,N/A
401,Bacao Rhythm & Steel Band,False,0,,,N/A
402,Pacific Express,False,0,,,N/A
403,The Sorcerers,False,0,,,N/A
404,King Sunny Ade,False,0,,,N/A
405,La BOA,False,0,,,N/A
406,IFÁ,False,0,,,N/A
407,Whitefield Brothers,False,0,,,N/A
408,The Shaolin Afronauts,False,0,,,N/A
409,Manoel Cordeiro,False,0,,,N/A
410,Orlando Julius,False,0,,,N/A
411,Elikem Kofi,False,0,,,N/A
412,Dos Santos,False,0,,,N/A
413,Zé Bigode Orquestra,False,0,,,N/A
414,Chief Checker,False,0,,,N/A
415,Lo'Jo,False,0,,,N/A
416,The Mauskovic Dance Band,False,0,,,N/A
417,Maga Bo,False,0,,,N/A
418,The Sugarman 3,False,0,,,N/A
419,TB1,False,0,,,N/A
420,Louis Pascal,False,0,,,N/A
421,Oneness Of Juju,False,0,,,N/A
422,Jlyricz,False,0,,,N/A
423,Monomono,False,0,,,N/A
424,Tony Allen With Africa 70,False,0,,,N/A
425,Girma Bèyènè,False,0,,,N/A
426,Niña Dioz,False,0,,,N/A
427,Geraldo Pino,False,0,,,N/A
428,El Rego,False,0,,,N/A
429,Antibalas,False,0,,,N/A
430,Lara George,False,0,,,N/A
431,Nomo,False,0,,,N/A
432,Assagai,False,0,,,N/A
433,The Funkees,False,0,,,N/A
434,Buena Onda Reggae Club,False,0,,,N/A
435,The Daktaris,False,0,,,N/A
436,Bola Johnson,False,0,,,N/A
437,Azarel,False,0,,,N/A
438,Edem Evangelist,False,0,,,N/A
439,Nkumba System,False,0,,,N/A
440,Chico Mann,False,0,,,N/A
441,cacique'97,False,0,,,N/A
442,Joshua Ali,False,0,,,N/A
443,Dele Ojo,False,0,,,N/A
444,The Polyversal Souls,False,0,,,N/A
445,Gil Joe,False,0,,,N/A
446,Gilles Peterson's Havana Cultura Band,False,0,,,N/A
447,Meridian Brothers,False,0,,,N/A
448,The Neighbourhood,False,0,,,N/A
449,MGMT,False,0,,,N/A
450,Sam Tinnesz,False,0,,,N/A
451,Nirvana,True,1,1995,1995,Best Alternative Music Performance
452,KALEO,False,0,,,N/A
453,The Score,False,0,,,N/A
454,grandson,False,0,,,N/A
455,WALK THE MOON,False,0,,,N/A
456,Red Hot Chili Peppers,True,3,1992,2006,Best Hard Rock Performance With Vocal | Best Rock Album | Best Rock Performance By A Duo Or Group With Vocal
457,The Killers,False,0,,,N/A
458,Nickelback,False,0,,,N/A
459,Weezer,True,1,2008,2008,Best Short Form Music Video
460,Deftones,True,1,2000,2000,Best Metal Performance
461,Julieta Venegas,True,1,2006,2006,Best Latin Pop Album
462,The Offspring,False,0,,,N/A
463,The 1975,False,0,,,N/A
464,Radiohead,True,3,1997,2008,Best Alternative Music Album | Best Alternative Music Performance
465,Hoobastank,False,0,,,N/A
466,The White Stripes,True,4,2003,2007,Best Alternative Music Album | Best Rock Performance By A Duo Or Group With Vocals
467,Thousand Foot Krutch,False,0,,,N/A
468,Dominic Fike,False,0,,,N/A
469,R.E.M.,True,3,1991,1991,Best Alternative Music Album | Best Music Video - Short Form | Best Pop Performance By A Duo Or Group With Vocal
470,Zoé,True,1,2018,2018,"Best Latin Rock, Urban Or Alternative Album"
471,Skillet,False,0,,,N/A
472,The Smashing Pumpkins,True,2,1996,1997,Best Hard Rock Performance
473,Los Enanitos Verdes,False,0,,,N/A
474,Korn,True,2,1999,2002,Best Metal Performance | Best Short Form Music Video
475,Fitz and The Tantrums,False,0,,,N/A
476,Ashes Remain,False,0,,,N/A
477,3 Doors Down,False,0,,,N/A
478,X Ambassadors,False,0,,,N/A
479,Counting Crows,False,0,,,N/A
480,Andrés Calamaro,False,0,,,N/A
481,Megadeth,True,1,2016,2016,Best Metal Performance
482,Volbeat,False,0,,,N/A
483,The Black Keys,True,3,2010,2012,Best Rock Album | Best Rock Performance | Best Rock Performance By A Duo Or Group With Vocals
